dev. Time days,diameter mm,temp c,ln egg mass g,ln dt
1.5,1.33,20.5,-6.699249199,0.405465108
2,1.33,24,-6.699249199,0.693147181
2.08,1.33,21.5,-6.699249199,0.732367894
5.63,1.33,11,-6.699249199,1.728109442
2,1.65,17.5,-6.052460162,0.693147181
11.5,0.99,4.3,-7.584937033,2.442347035
9.33,0.99,5.2,-7.584937033,2.233235015
7.83,0.99,6,-7.584937033,2.05796251
6.75,0.99,7,-7.584937033,1.909542505
5.79,0.99,8,-7.584937033,1.756132292
5.17,0.99,8.9,-7.584937033,1.642872689
4.43,0.99,9.7,-7.584937033,1.488399584
4.06,0.99,10.6,-7.584937033,1.401182974
3.65,0.99,11.4,-7.584937033,1.294727168
3.36,0.99,12.2,-7.584937033,1.211940974
2.95,0.99,13.2,-7.584937033,1.08180517
2.77,0.99,13.7,-7.584937033,1.01884732
2.48,0.99,14.8,-7.584937033,0.90825856
2.32,0.99,15.6,-7.584937033,0.841567186
2.17,0.99,16.5,-7.584937033,0.774727168
2.13,0.99,17.4,-7.584937033,0.75612198
1.88,0.99,18.4,-7.584937033,0.631271777
1.8,0.99,19.1,-7.584937033,0.587786665
1.76,0.99,20,-7.584937033,0.565313809
3.7,1.82,11,-5.758276522,1.30833282
1.75,1.82,16,-5.758276522,0.559615788
1.5,1.5,28.5,-6.338390701,0.405465108
1.06,1.16,29.5,-7.10952601,0.058268908
1.19,1.13,28.2,-7.188133127,0.173953307
1.04,1.13,28.2,-7.188133127,0.039220713
10.5,1.5,8.3,-6.338390701,2.351375257
9,1.15,9.4,-7.135500198,2.197224577
15,1.5,2.8,-6.338390701,2.708050201
13,1.5,5,-6.338390701,2.564949357
11.5,1.16,8,-7.10952601,2.442347035
4,1.16,10.5,-7.10952601,1.386294361
2.38,0.71,22.5,-8.582256952,0.867100488
1.25,0.74,21.1,-8.458101304,0.223143551
5.4,0.96,16,-7.677252009,1.686398954
4.5,0.96,15,-7.677252009,1.504077397
10,1.1,9.1,-7.268855486,2.302585093
2,0.88,21,-7.93828614,0.693147181
7,1.1,9.8,-7.268855486,1.945910149
4,1.6,28.5,-6.144775138,1.386294361
5,1.41,15,-6.524016912,1.609437912
2.29,1.3,20,-6.767693232,0.828551818
7,1.7,9,-5.962901272,1.945910149
2.5,1.05,22,-7.408415533,0.916290732
3.71,1.05,20.5,-7.408415533,1.311031877
1,0.9,25,-7.870867572,0
0.7,0.87,27.5,-7.972572227,-0.356674944
1.27,0.77,28.5,-8.338880318,0.2390169
1,0.9,27,-7.870867572,0
4.67,1.18,13,-7.05824271,1.541159072
2.5,1.35,15,-6.654472248,0.916290732
2.29,1.35,17,-6.654472248,0.828551818
5,1,10,-7.554786025,1.609437912
5,0.95,10,-7.708665908,1.609437912
5,0.95,15,-7.708665908,1.609437912
3.13,0.95,15,-7.708665908,1.141033005
3.13,0.95,16,-7.708665908,1.141033005
1.58,0.95,23,-7.708665908,0.457424847
4.5,1.4,13,-6.545369315,1.504077397
1.96,1,20,-7.554786025,0.672944473
0.83,0.66,24.5,-8.801332357,-0.186329578
0.63,0.78,28,-8.300170103,-0.46203546
0.5,0.7,28.5,-8.624810857,-0.693147181
0.38,0.62,28.5,-8.988893428,-0.967584026
2.08,1,21,-7.554786025,0.732367894
2,1.4,24.5,-6.545369315,0.693147181
1.56,0.6,23,-9.087262897,0.444685821
0.75,0.82,26.4,-8.150138842,-0.287682072
1.63,0.81,20.4,-8.186949119,0.488580015
1.67,1,22,-7.554786025,0.512823626
1.67,0.9,22.2,-7.870867572,0.512823626
1.67,0.8,25.5,-8.224216679,0.512823626
1.88,1,18,-7.554786025,0.631271777
2.5,1.04,19.3,-7.437123886,0.916290732
1.66,0.81,21,-8.186949119,0.506817602
1.17,0.68,24,-8.711773468,0.157003749
0.75,0.76,27,-8.378096562,-0.287682072
1.88,0.76,20,-8.378096562,0.631271777
1,0.92,20,-7.804930852,0
2,0.82,20.5,-8.150138842,0.693147181
2.08,0.84,20,-8.077846187,0.732367894
0.92,0.76,23,-8.378096562,-0.083381609
2,1.02,18,-7.495378143,0.693147181
1.5,0.91,21,-7.837718064,0.405465108
1,1,27,-7.554786025,0
1.54,0.93,24,-7.772498104,0.431782416
2.04,0.93,22,-7.772498104,0.712949808
0.96,0.67,27.5,-8.756218725,-0.040821995
1.13,0.76,23.7,-8.378096562,0.122217633
1.67,0.85,21.5,-8.042342814,0.512823626
1.81,1,21.1,-7.554786025,0.593326845
1.5,0.48,23.3,-9.756693551,0.405465108
1,0.66,25,-8.801332357,0
4.5,1.04,16.8,-7.437123886,1.504077397
1.08,0.67,24,-8.756218725,0.076961041
1.04,0.65,26.5,-8.847134774,0.039220713
2.08,0.99,18.5,-7.584937033,0.732367894
2,2.42,28.5,-4.903483405,0.693147181
7.38,1.19,7.4,-7.032926104,1.998773639
2.06,1.19,21,-7.032926104,0.722705983
2.04,1.05,19.5,-7.408415533,0.712949808
2.08,1.05,20,-7.408415533,0.732367894
1.85,0.96,18.7,-7.677252009,0.615185639
1.4,0.96,24.4,-7.677252009,0.336472237
1.34,0.96,30.1,-7.677252009,0.292669614
0.88,1.05,28.8,-7.408415533,-0.127833372
1.1,1,26.7,-7.554786025,0.09531018
1.04,1.03,25,-7.466109619,0.039220713
0.65,1,29,-7.554786025,-0.430782916
1.02,1,25.5,-7.554786025,0.019802627
6.08,1.14,11.5,-7.161701238,1.805004696
3,0.75,14.6,-8.417832243,1.098612289
2.33,1.02,22.9,-7.495378143,0.845868268
3.06,1.02,17.5,-7.495378143,1.118414916
5.92,1.02,9.1,-7.495378143,1.778336449
7,1.1,11.5,-7.268855486,1.945910149
5.42,1.1,13.5,-7.268855486,1.690095815
5.29,1.1,14,-7.268855486,1.665818246
5.17,1.1,14.2,-7.268855486,1.642872689
5,1.1,15,-7.268855486,1.609437912
4.71,1.1,16.3,-7.268855486,1.549687908
3,1.1,17.7,-7.268855486,1.098612289
9.5,1.06,10,-7.379979301,2.251291799
7,1.06,12,-7.379979301,1.945910149
5,1.06,14.5,-7.379979301,1.609437912
3,1,14.5,-7.554786025,1.098612289
7,0.93,9,-7.772498104,1.945910149
12,0.93,7,-7.772498104,2.48490665
3,0.93,10,-7.772498104,1.098612289
5.5,1.29,15.3,-6.79085937,1.704748092
8.8,1.29,8.8,-6.79085937,2.174751721
6,1.29,6,-6.79085937,1.791759469
8,1.16,8.6,-7.10952601,2.079441542
16,3.4,6,-3.88345973,2.772588722
9,1.03,5,-7.466109619,2.197224577
2,1.46,27.3,-6.419476718,0.693147181