egg diameter,length at hatch,egg mass,mass at hatch
1.9,2.7,0.00356668,0.00019683
1,4.3,0.00052,0.00079507
1.04,3.8,0.000584929,0.00054872
3.15,7.8,0.016253055,0.00474552
1.13,3.8,0.000750306,0.00054872
0.82,2.3,0.000286711,0.00012167
0.85,2,0.000319345,0.00008
0.85,2.3,0.000319345,0.00012167
0.95,2,0.000445835,0.00008
1.2,3.4,0.00089856,0.00039304
1.2,6.8,0.00089856,0.00314432
1.35,7.5,0.001279395,0.00421875
0.75,4.2,0.000219375,0.00074088
1.05,2.8,0.000601965,0.00021952
1.07,2.9,0.000637022,0.00024389
0.84,2.3,0.000308206,0.00012167
0.89,3,0.000366584,0.00027
1.53,3,0.00186242,0.00027
0.99,2.7,0.000504555,0.00019683
1.25,3.5,0.001015625,0.00042875
1.46,3.5,0.001618311,0.00042875
1.13,3.5,0.000750306,0.00042875
1.57,5,0.002012344,0.00125
2.9,3.1,0.01268228,0.00029791
1.27,2.6,0.001065159,0.00017576
1.95,7.2,0.003855735,0.00373248
1.15,3.5,0.000790855,0.00042875
0.82,2.9,0.000286711,0.00024389
1.05,3.2,0.000601965,0.00032768
1.2,3.5,0.00089856,0.00042875
1,2.6,0.00052,0.00017576
1.1,2.9,0.00069212,0.00024389
0.6,2.6,0.00011232,0.00017576
0.44,1.6,4.43E-05,0.00004096
0.5,1.8,0.000065,0.00005832
1.25,3.2,0.001015625,0.00032768
1.85,6.8,0.003292445,0.00314432
0.98,2.7,0.00048942,0.00019683
0.95,2.5,0.000445835,0.00015625
0.84,1.8,0.000308206,0.00005832
0.72,1.9,0.000194089,0.00006859